Link;Address;Neighbor;Area;Type;Rooms;Bathrooms;Parking;Price
https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-londrina-com-garagem-62m2-venda-RS350000-id-2681019294/;Rua Santos, 915 - Centro, Londrina - PR; Centro;62;Apartamento;2;2;1;350000
https://www.vivareal.com.br/imovel/apartamento-2-quartos-cidade-industrial-2-bairros-londrina-com-garagem-54m2-venda-RS135000-id-2647546258/;Cidade Industrial 2, Londrina - PR;Cidade Industrial 2;54;Apartamento;2;1;1;135000
https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-londrina-58m2-venda-RS180000-id-2669390605/;Centro, Londrina - PR;Centro;58;Apartamento;2;1;;180000
https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-londrina-com-garagem-64m2-venda-RS170000-id-2663777304/;Avenida Rio de Janeiro, 551 - Centro, Londrina - PR; Centro;64;Apartamento;2;1;1;170000
https://www.vivareal.com.br/imovel/apartamento-4-quartos-centro-bairros-londrina-80m2-venda-RS305000-id-2638417622/;Centro, Londrina - PR;Centro;80;Apartamento;4;3;;305000
https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-londrina-com-garagem-90m2-venda-RS310000-id-2645318548/;Centro, Londrina - PR;Centro;90;Apartamento;3;3;1;310000
https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-londrina-com-garagem-83m2-venda-RS309000-id-2656917062/;Rua Eduardo Benjamin Hosken - Centro, Londrina - PR; Centro;83;Apartamento;3;2;1;309000
https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-londrina-com-garagem-71m2-venda-RS290000-id-2682570141/;Rua Brasil, 1454 - Centro, Londrina - PR; Centro;71;Apartamento;3;2;1;290000
https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-londrina-com-garagem-73m2-venda-RS310000-id-2673159293/;Rua Cambará, 670 - Centro, Londrina - PR; Centro;73;Apartamento;3;2;1;310000
https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-londrina-com-garagem-50m2-venda-RS200000-id-2672286640/;Centro, Londrina - PR;Centro;50;Apartamento;2;1;2;200000
https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-brasil-bairros-londrina-com-garagem-57m2-venda-RS295000-id-2623972115/;Vila Brasil, Londrina - PR;Vila Brasil;57;Apartamento;2;2;1;295000
https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-londrina-com-garagem-110m2-venda-RS330000-id-2512621174/;Rua Pará - Centro, Londrina - PR; Centro;110;Apartamento;3;3;1;330000
https://www.vivareal.com.br/imovel/1-quartos-centro-bairros-londrina-com-garagem-38m2-venda-RS250000-id-2544312012/;Rua Belo Horizonte, 1177 - Centro, Londrina - PR; Centro;38;Apartamento;1;1;1;250000
https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-londrina-com-garagem-50m2-venda-RS259000-id-2617587282/;Rua Amapá - Centro, Londrina - PR; Centro;50;Apartamento;2;2;1;259000
https://www.vivareal.com.br/imovel/casa-2-quartos-quebec-bairros-londrina-79m2-venda-RS300000-id-2669731293/;Quebec, Londrina - PR;Quebec;79;Casa;2;1;;300000
https://www.vivareal.com.br/imovel/apartamento-2-quartos-cidade-industrial-2-bairros-londrina-com-garagem-44m2-venda-RS169000-id-2645248869/;Avenida Azilé Miguel Abujamra - Cidade Industrial 2, Londrina - PR; Cidade Industrial 2;44;Apartamento;2;1;1;169000
https://www.vivareal.com.br/imovel/apartamento-4-quartos-centro-bairros-londrina-com-garagem-109m2-venda-RS350000-id-2680467098/;Centro, Londrina - PR;Centro;109;Apartamento;4;1;2;350000
https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-londrina-com-garagem-101m2-venda-RS320000-id-2682921189/;Rua Pernambuco, 134 - Centro, Londrina - PR; Centro;101;Apartamento;3;2;1;320000
https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-londrina-com-garagem-145m2-venda-RS330000-id-94539368/;Rua Pará, 327 - Centro, Londrina - PR; Centro;145;Apartamento;3;2;2;330000
https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-ipiranga-bairros-londrina-com-garagem-45m2-venda-RS270000-id-2575773133/;Rua Raposo Tavares - Vila Ipiranga, Londrina - PR; Vila Ipiranga;45;Apartamento;2;1;1;270000
https://www.vivareal.com.br/imovel/casa-3-quartos-california-bairros-londrina-com-garagem-127m2-venda-RS290000-id-2623905941/;Rua Capitão João Busse - California, Londrina - PR; California;127;Casa;3;2;4;290000
https://www.vivareal.com.br/imovel/apartamento-1-quartos-centro-bairros-londrina-com-garagem-58m2-venda-RS285000-id-2667526303/;Rua Professor João Cândido, 1350 - Centro, Londrina - PR; Centro;58;Apartamento;1;2;1;285000
https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-londrina-com-garagem-58m2-venda-RS245000-id-2565463577/;Rua Pará - Centro, Londrina - PR; Centro;58;Apartamento;2;1;1;245000
https://www.vivareal.com.br/imovel/casa-3-quartos-ideal-bairros-londrina-70m2-venda-RS264000-id-2667992072/;Rua Diamante, 1433 - Ideal, Londrina - PR; Ideal;70;Casa;3;2;;264000
https://www.vivareal.com.br/imovel/apartamento-1-quartos-centro-bairros-londrina-com-garagem-34m2-venda-RS190000-id-2672796283/;Rua Uruguai - Centro, Londrina - PR; Centro;34;Apartamento;1;1;1;190000
